	i_episode	Reward
0	0	15.0
1	1	13.0
2	2	37.0
3	3	16.0
4	4	19.0
5	5	10.0
6	6	18.0
7	7	22.0
8	8	54.0
9	9	90.0
10	10	13.0
11	11	37.0
12	12	20.0
13	13	14.0
14	14	9.0
15	15	39.0
16	16	15.0
17	17	12.0
18	18	14.0
19	19	12.0
20	20	50.0
21	21	14.0
22	22	19.0
23	23	9.0
24	24	9.0
25	25	11.0
26	26	13.0
27	27	20.0
28	28	21.0
29	29	11.0
30	30	29.0
31	31	13.0
32	32	17.0
33	33	22.0
34	34	13.0
35	35	33.0
36	36	27.0
37	37	14.0
38	38	12.0
39	39	20.0
40	40	16.0
41	41	15.0
42	42	32.0
43	43	85.0
44	44	13.0
45	45	14.0
46	46	16.0
47	47	12.0
48	48	14.0
49	49	36.0
50	50	11.0
51	51	35.0
52	52	32.0
53	53	48.0
54	54	30.0
55	55	15.0
56	56	26.0
57	57	35.0
58	58	14.0
59	59	17.0
60	60	15.0
61	61	31.0
62	62	14.0
63	63	18.0
64	64	12.0
65	65	11.0
66	66	11.0
67	67	18.0
68	68	10.0
69	69	18.0
70	70	26.0
71	71	13.0
72	72	74.0
73	73	157.0
74	74	93.0
75	75	19.0
76	76	29.0
77	77	24.0
78	78	45.0
79	79	16.0
80	80	12.0
81	81	57.0
82	82	20.0
83	83	41.0
84	84	66.0
85	85	54.0
86	86	14.0
87	87	42.0
88	88	109.0
89	89	79.0
90	90	16.0
91	91	114.0
92	92	11.0
93	93	18.0
94	94	113.0
95	95	62.0
96	96	140.0
97	97	104.0
98	98	36.0
99	99	154.0
100	100	104.0
101	101	43.0
102	102	46.0
103	103	86.0
104	104	140.0
105	105	111.0
106	106	77.0
107	107	42.0
108	108	42.0
109	109	12.0
110	110	82.0
111	111	45.0
112	112	33.0
113	113	24.0
114	114	27.0
115	115	25.0
116	116	27.0
117	117	14.0
118	118	21.0
119	119	44.0
120	120	36.0
121	121	24.0
122	122	23.0
123	123	33.0
124	124	29.0
125	125	12.0
126	126	22.0
127	127	138.0
128	128	12.0
129	129	12.0
130	130	118.0
131	131	33.0
132	132	108.0
133	133	45.0
134	134	47.0
135	135	142.0
136	136	50.0
137	137	124.0
138	138	111.0
139	139	48.0
140	140	94.0
141	141	23.0
142	142	83.0
143	143	129.0
144	144	55.0
145	145	31.0
146	146	31.0
147	147	143.0
148	148	83.0
149	149	65.0
150	150	11.0
151	151	24.0
152	152	50.0
153	153	41.0
154	154	34.0
155	155	17.0
156	156	131.0
157	157	33.0
158	158	33.0
159	159	13.0
160	160	58.0
161	161	39.0
162	162	9.0
163	163	56.0
164	164	11.0
165	165	82.0
166	166	15.0
167	167	53.0
168	168	57.0
169	169	25.0
170	170	24.0
171	171	33.0
172	172	36.0
173	173	27.0
174	174	34.0
175	175	35.0
176	176	39.0
177	177	32.0
178	178	154.0
179	179	62.0
180	180	115.0
181	181	22.0
182	182	31.0
183	183	56.0
184	184	20.0
185	185	32.0
186	186	43.0
187	187	18.0
188	188	53.0
189	189	29.0
190	190	19.0
191	191	118.0
192	192	30.0
193	193	110.0
194	194	44.0
195	195	37.0
196	196	155.0
197	197	165.0
198	198	127.0
199	199	52.0
200	200	106.0
201	201	53.0
202	202	108.0
203	203	104.0
204	204	41.0
205	205	17.0
206	206	159.0
207	207	16.0
208	208	123.0
209	209	23.0
210	210	115.0
211	211	58.0
212	212	53.0
213	213	48.0
214	214	29.0
215	215	21.0
216	216	18.0
217	217	55.0
218	218	21.0
219	219	154.0
220	220	162.0
221	221	107.0
222	222	128.0
223	223	174.0
224	224	40.0
225	225	41.0
226	226	113.0
227	227	168.0
228	228	181.0
229	229	156.0
230	230	120.0
231	231	152.0
232	232	40.0
233	233	152.0
234	234	134.0
235	235	23.0
236	236	55.0
237	237	66.0
238	238	48.0
239	239	133.0
240	240	126.0
241	241	166.0
242	242	156.0
243	243	140.0
244	244	112.0
245	245	172.0
246	246	154.0
247	247	197.0
248	248	48.0
249	249	48.0
250	250	31.0
251	251	243.0
252	252	186.0
253	253	59.0
254	254	11.0
255	255	120.0
256	256	25.0
257	257	57.0
258	258	47.0
259	259	34.0
260	260	42.0
261	261	70.0
262	262	55.0
263	263	55.0
264	264	44.0
265	265	159.0
266	266	48.0
267	267	78.0
268	268	43.0
269	269	26.0
270	270	43.0
271	271	172.0
272	272	155.0
273	273	42.0
274	274	47.0
275	275	51.0
276	276	41.0
277	277	23.0
278	278	146.0
279	279	32.0
280	280	209.0
281	281	26.0
282	282	70.0
283	283	108.0
284	284	164.0
285	285	152.0
286	286	66.0
287	287	138.0
288	288	50.0
289	289	62.0
290	290	189.0
291	291	188.0
292	292	48.0
293	293	42.0
294	294	163.0
295	295	24.0
296	296	38.0
297	297	111.0
298	298	188.0
299	299	269.0
300	300	163.0
301	301	230.0
302	302	137.0
303	303	159.0
304	304	236.0
305	305	217.0
306	306	144.0
307	307	202.0
308	308	178.0
309	309	285.0
310	310	150.0
311	311	151.0
312	312	159.0
313	313	139.0
314	314	138.0
315	315	172.0
316	316	175.0
317	317	153.0
318	318	159.0
319	319	160.0
320	320	165.0
321	321	216.0
322	322	137.0
323	323	138.0
324	324	135.0
325	325	156.0
326	326	209.0
327	327	143.0
328	328	146.0
329	329	166.0
330	330	147.0
331	331	194.0
332	332	144.0
333	333	145.0
334	334	145.0
335	335	147.0
336	336	146.0
337	337	235.0
338	338	217.0
339	339	180.0
340	340	231.0
341	341	184.0
342	342	255.0
343	343	267.0
344	344	203.0
345	345	142.0
346	346	207.0
347	347	48.0
348	348	177.0
349	349	177.0
350	350	130.0
351	351	144.0
352	352	158.0
353	353	147.0
354	354	187.0
355	355	87.0
356	356	154.0
357	357	235.0
358	358	198.0
359	359	187.0
360	360	169.0
361	361	148.0
362	362	131.0
363	363	161.0
364	364	130.0
365	365	213.0
366	366	215.0
367	367	159.0
368	368	159.0
369	369	108.0
370	370	138.0
371	371	141.0
372	372	152.0
373	373	150.0
374	374	141.0
375	375	208.0
376	376	167.0
377	377	139.0
378	378	162.0
379	379	167.0
380	380	251.0
381	381	144.0
382	382	185.0
383	383	77.0
384	384	161.0
385	385	160.0
386	386	135.0
387	387	152.0
388	388	179.0
389	389	144.0
390	390	143.0
391	391	182.0
392	392	175.0
393	393	425.0
394	394	169.0
395	395	167.0
396	396	139.0
397	397	207.0
398	398	199.0
399	399	139.0
400	400	184.0
401	401	219.0
402	402	179.0
403	403	161.0
404	404	137.0
405	405	144.0
406	406	141.0
407	407	149.0
408	408	153.0
409	409	151.0
410	410	133.0
411	411	152.0
412	412	131.0
413	413	147.0
414	414	254.0
415	415	151.0
416	416	184.0
417	417	156.0
418	418	131.0
419	419	133.0
420	420	149.0
421	421	140.0
422	422	140.0
423	423	148.0
424	424	143.0
425	425	161.0
426	426	151.0
427	427	181.0
428	428	165.0
429	429	135.0
430	430	135.0
431	431	178.0
432	432	184.0
433	433	137.0
434	434	129.0
435	435	147.0
436	436	124.0
437	437	78.0
438	438	151.0
439	439	176.0
440	440	177.0
441	441	151.0
442	442	242.0
443	443	302.0
444	444	156.0
445	445	381.0
446	446	72.0
447	447	312.0
448	448	39.0
449	449	260.0
450	450	146.0
451	451	204.0
452	452	198.0
453	453	35.0
454	454	74.0
455	455	33.0
456	456	189.0
457	457	202.0
458	458	151.0
459	459	163.0
460	460	296.0
461	461	312.0
462	462	162.0
463	463	149.0
464	464	31.0
465	465	95.0
466	466	120.0
467	467	151.0
468	468	151.0
469	469	164.0
470	470	88.0
471	471	107.0
472	472	151.0
473	473	74.0
474	474	190.0
475	475	187.0
476	476	158.0
477	477	192.0
478	478	128.0
479	479	151.0
480	480	148.0
481	481	356.0
482	482	180.0
483	483	160.0
484	484	196.0
485	485	177.0
486	486	246.0
487	487	173.0
488	488	273.0
489	489	323.0
490	490	143.0
491	491	429.0
492	492	263.0
493	493	183.0
494	494	109.0
495	495	230.0
496	496	303.0
497	497	118.0
498	498	268.0
499	499	274.0
